source_id,title,city,state,asking_price,annual_revenue,practice_type,description,broker_name,listing_url,exam_rooms,sqft,listing_code
tpsg-great-lakes-ny-small-ani,Great Lakes: NY – Small Animal Practice For Sale in Southwestern New York (NY-9615),,NY,1191218,,Small Animal,"The hospital is a solo doctor, small animal exclusive, practice. The current owner is looking to retire, but would work a short time to assist the buyer with the transition.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/great-lakes-ny-small-animal-practice-for-sale-in-southwestern-new-york-ny-9615/,,,great-lakes-ny-small-ani
tpsg-greater-seattle-area,Greater Seattle Area,,,1191218,,Small Animal,"Located just 25 minutes from downtown Seattle, this beautifully designed modern veterinary practice offers an exceptional turnkey opportunity in one of the most sought-after communities in the Greater Seattle area!",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/greater-seattle-area/,3,,greater-seattle-area
tpsg-metro-kansas-city-2-doct,Metro Kansas City 2-Doctor Veterinary Clinic for Sale,,KS,1100000,,Small Animal,"Located in the Kansas City metro, this well‑established two‑doctor veterinary practice offers an exceptional opportunity for the right buyer. The hospital sits in a premier area known for strong demographics, steady growth, and a loyal client base that has trusted the team for years.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/metro-kansas-city-2-doctor-veterinary-clinic-for-sale/,,,metro-kansas-city-2-doct
tpsg-nd-mn-two-location-pract,ND/MN – Two Location Practice,,ND,2000000,,Small Animal,"Two doctor, small animal practice with two locations, grossing $2MM near the ND/MN border. Very profitable with great cash flow.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/nd-mn-two-location-practice-grossing-2mm/,,,nd-mn-two-location-pract
tpsg-new-york-jersey-border-p,New York- Jersey Border Practice,,NY,1700000,,Small Animal,"This has served the Suffern, New York community with distinction since 1988, building a loyal client base over more than three decades of compassionate, high-quality veterinary care. Strategically situated on the New York/New Jersey border, the practice draws a predominantly upper-middle-class clientele known for their commitment to their pets’ health — clients who accept treatment plans without hesitation and rarely request itemized estimates.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/new-york-jersey-border-practice/,,,new-york-jersey-border-p
tpsg-northwest-florida,Northwest Florida High-Performing Small Animal Practice For Sale!,,FL,2000000,,Small Animal,"Looking for a practice in Northwest Florida? This established small animal clinic offers consistent revenue, strong cash flow, and a loyal, long-standing client base.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/northwest-florida/,,,northwest-florida
tpsg-se-of-everett-wa-10223,"Premier Location 45 minutes from Bellevue, WA",Minutes From Bellevue,WA,1796024,,Small Animal,"This single, small animal practice is in a leased space. 2024 Gross Revenue was over $1.9 million. There are 3 exam rooms and 2 treatment areas. Average rate of return for the last 3 years was over 15%. 45 minutes from Bellevue.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/se-of-everett-wa-10223/,3,,se-of-everett-wa-10223
tpsg-southeastern-sc-practice,Southeastern SC Practice For Sale!,,SC,1000000,,Small Animal,"The current owner purchased this small animal clinic in South Carolina in 2017. This efficient building has three exam rooms, one treatment room, a surgical room, a digital x-ray, ample green space, and an expansive parking area. The owner works nine hours weekly, and associates cover thirty hours. A motivated new owner can grow this practice by working more hours and extending office hours on Saturdays.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/southeastern-sc-practice-for-sale/,,,southeastern-sc-practice
tpsg-thriving-kansas-practice,Thriving Kansas Practice for Sale,,KS,900000,,Small Animal,"This well-established companion animal practice in southern Johnson County, Kansas presents an excellent opportunity for a veterinarian looking to own a thriving practice with room to grow. Currently operating as a one-doctor practice, this hospital generates approximately $900,000 in annual gross revenue and features three fully equipped exam rooms.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/thriving-kansas-practice-for-sale/,,,thriving-kansas-practice
tpsg-thriving-practice-in-eas,Thriving Practice in Central MA – Metrowest Area,,MA,835000,,Small Animal,"This small animal practice is a second-generation family-owned business established in 1968. This outpatient facility has a reputation for delivering exceptional care and fostering strong client relationships. The diverse client base includes both generational and new clients, as well as established ones.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/thriving-practice-in-eastern-ma/,,,thriving-practice-in-eas
tpsg-turnkey-small-animal-pra,Turnkey Small-Animal Practice – Central Texas,,TX,861000,,Small Animal,Companion animal practice serving a rapidly growing Central Texas community.,Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/turnkey-small-animal-practice-central-texas/,3,,turnkey-small-animal-pra
tpsg-southeast-alaska,Waterfront Southeast Alaska Veterinary Practice with Real Estate,,AK,1040000,,Small Animal,"Step into an exceptional ownership opportunity: a waterfront veterinary practice paired with prime real estate in Southeast Alaska. This turnkey clinic has been newly renovated , featuring a clean, modern design that elevates both workflow efficiency and client experience.",Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/southeast-alaska/,,,southeast-alaska
tpsg-akron-area-opportunity,Akron Area Opportunity,,,962000,,Small Animal,Click on any region of the map to find your local veterinary practice broker.,Total Practice Solutions Group,https://www.totalpracticesolutionsgroup.com/practice/akron-area-opportunity/,,,akron-area-opportunity
